joint id: 8, measured_angle: -0.001867, target_angle: -0.012067, newest_measurement_index: 9406
joint id: 0, measured_angle: -0.001623, target_angle: 0.007637, newest_measurement_index: 11810
joint id: 1, measured_angle: -0.098164, target_angle: -0.088083, newest_measurement_index: 11926
joint id: 2, measured_angle: -0.002565, target_angle: -0.012681, newest_measurement_index: 11926
joint id: 3, measured_angle: -0.001030, target_angle: 0.009470, newest_measurement_index: 9514
joint id: 4, measured_angle: -0.107595, target_angle: -0.097095, newest_measurement_index: 9622
joint id: 5, measured_angle: -0.000507, target_angle: -0.011007, newest_measurement_index: 9622
joint id: 6, measured_angle: 0.008280, target_angle: 0.018780, newest_measurement_index: 9303
joint id: 7, measured_angle: -0.001937, target_angle: 0.008493, newest_measurement_index: 9407
joint id: 8, measured_angle: -0.001867, target_angle: -0.012367, newest_measurement_index: 9407
joint id: 0, measured_angle: -0.001588, target_angle: 0.007937, newest_measurement_index: 11811
joint id: 1, measured_angle: -0.098164, target_angle: -0.087783, newest_measurement_index: 11928
joint id: 2, measured_angle: -0.002599, target_angle: -0.012981, newest_measurement_index: 11928
joint id: 3, measured_angle: -0.001030, target_angle: 0.009770, newest_measurement_index: 9515
joint id: 4, measured_angle: -0.107595, target_angle: -0.096795, newest_measurement_index: 9623
joint id: 5, measured_angle: -0.000507, target_angle: -0.011307, newest_measurement_index: 9623
joint id: 6, measured_angle: 0.008280, target_angle: 0.019080, newest_measurement_index: 9303
joint id: 7, measured_angle: -0.001937, target_angle: 0.008793, newest_measurement_index: 9407
joint id: 8, measured_angle: -0.001867, target_angle: -0.012667, newest_measurement_index: 9407
joint id: 0, measured_angle: -0.001588, target_angle: 0.008237, newest_measurement_index: 11812
